Just Cause (1995),9061
"Kid in King Arthur's Court, A (1995)",37108
Kiss of Death (1995),6071
Star Wars: Episode IV - A New Hope (1977),11
Little Women (1994),9587
"Little Princess, A (1995)",19101
Ladybird Ladybird (1994),49980
Like Water for Chocolate (Como agua para chocolate) (1992),18183
Legends of the Fall (1994),4476
Major Payne (1995),11008
My Crazy Life (Mi vida loca) (1993),32325
Love Affair (1994),43742
Losing Isaiah (1995),28313
"Madness of King George, The (1994)",11318
Mary Shelley's Frankenstein (Frankenstein) (1994),3036
Man of the House (1995),40490
Mixed Nuts (1994),24070
Milk Money (1994),8986
Miracle on 34th Street (1994),10510
Miami Rhapsody (1995),17402
My Family (1995),38722
Murder in the First (1995),8438
Nobody's Fool (1994),11593
Nell (1994),1945
New Jersey Drive (1995),39310
New York Cop (Nyû Yôku no koppu) (1993),109560
Beyond Bedlam (1993),56428
Nina Takes a Lover (1994),131957
Natural Born Killers (1994),241
Only You (1994),9058
Once Were Warriors (1994),527
Poison Ivy II (1996),18220
Outbreak (1995),6950
Léon: The Professional (a.k.a. The Professional) (Léon) (1994),101
"Perez Family, The (1995)",63020
"Pyromaniac's Love Story, A (1995)",2307
Pulp Fiction (1994),680
Pushing Hands (Tui shou) (1992),25296
Priest (1994),40156
Quiz Show (1994),11450
Picture Bride (Bijo photo) (1994),30304
"Queen Margot (Reine Margot, La) (1994)",10452
"Quick and the Dead, The (1995)",12106
Roommates (1995),161495
Ready to Wear (Pret-A-Porter) (1994),3586
Three Colors: Red (Trois couleurs: Rouge) (1994),110
Three Colors: Blue (Trois couleurs: Bleu) (1993),108
Three Colors: White (Trzy kolory: Bialy) (1994),109
Rent-a-Kid (1995),36357
Relative Fear (1994),92769
Stuart Saves His Family (1995),28033
"Swan Princess, The (1994)",22586
"Secret of Roan Inish, The (1994)",14334
"Specialist, The (1994)",2636
Stargate (1994),2164
"Santa Clause, The (1994)",11395
"Shawshank Redemption, The (1994)",278
Shallow Grave (1994),9905
Suture (1993),87078
Strawberry and Chocolate (Fresa y chocolate) (1993),12527
Swimming with Sharks (1995),20306
"Sum of Us, The (1994)",36614
National Lampoon's Senior Trip (1995),27993
To Live (Huozhe) (1994),31439
Tank Girl (1995),9067
Tales from the Crypt Presents: Demon Knight (1995),9059
Star Trek: Generations (1994),193
Tales from the Hood (1995),25066
Tom & Viv (1994),46797
Village of the Damned (1995),12122
Tommy Boy (1995),11381
Vanya on 42nd Street (1994),32636
Underneath (1995),36141
"Walking Dead, The (1995)",95963
What's Eating Gilbert Grape (1993),1587
Virtuosity (1995),9271
While You Were Sleeping (1995),2064
"War, The (1994)",19855
Double Happiness (1994),60855
Muriel's Wedding (1994),236
"Baby-Sitters Club, The (1995)",48287
Ace Ventura: Pet Detective (1994),3049
"Adventures of Priscilla, Queen of the Desert, The (1994)",2759
Backbeat (1993),12635
Bitter Moon (1992),10497
Bullets Over Broadway (1994),11382
Clear and Present Danger (1994),9331
"Client, The (1994)",10731
"Corrina, Corrina (1994)",10464
Crooklyn (1994),34152
"Crow, The (1994)",9495
Cobb (1994),29973
"Flintstones, The (1994)",888
Forrest Gump (1994),13
Four Weddings and a Funeral (1994),712
Higher Learning (1995),16295
I Like It Like That (1994),48992
I Love Trouble (1994),10879
It Could Happen to You (1994),10660
"Jungle Book, The (1994)",10714
"Wonderful, Horrible Life of Leni Riefenstahl, The (Macht der Bilder: Leni Riefenstahl, Die) (1993)",41647
"Lion King, The (1994)",8587
Little Buddha (1993),1689
"Wes Craven's New Nightmare (Nightmare on Elm Street Part 7: Freddy's Finale, A) (1994)",11596
"Mask, The (1994)",854
Maverick (1994),9359
Mrs. Parker and the Vicious Circle (1994),23333
Naked Gun 33 1/3: The Final Insult (1994),36593
"Paper, The (1994)",12280
Reality Bites (1994),2788
Red Rock West (1992),10427
Richie Rich (1994),11011
"River Wild, The (1994)",8987
Speed (1994),1637
Speechless (1994),15128
Timecop (1994),8831
True Lies (1994),36955
When a Man Loves a Woman (1994),10449
Wolf (1994),10395
Wyatt Earp (1994),12160
Bad Company (1995),40480
"Man of No Importance, A (1994)",52038
S.F.W. (1994),29444
"Low Down Dirty Shame, A (1994)",26352
Boys Life (1995),39953
"Colonel Chabert, Le (1994)",41580
Faster Pussycat! Kill! Kill! (1965),315
Jason's Lyric (1994),22067
Street Fighter (1994),11667
Highlander III: The Sorcerer (a.k.a. Highlander: The Final Dimension) (1994),8011
Federal Hill (1994),171857
In the Mouth of Madness (1995),2654
8 Seconds (1994),18069
Above the Rim (1994),19092
Addams Family Values (1993),2758
"Age of Innocence, The (1993)",10436
Airheads (1994),13595
"Air Up There, The (1994)",46094
Another Stakeout (1993),9409
Bad Girls (1994),11853
Barcelona (1994),16771
Being Human (1993),46924
"Beverly Hillbillies, The (1993)",11041
Beverly Hills Cop III (1994),306
Black Beauty (1994),14522
Blink (1994),26203
Blown Away (1994),178
Blue Chips (1994),19819
Blue Sky (1994),57834
Body Snatchers (1993),4722
Boxing Helena (1993),18215
"Bronx Tale, A (1993)",1607
Cabin Boy (1994),26391
Calendar Girl (1993),117553
Carlito's Way (1993),6075
City Slickers II: The Legend of Curly's Gold (1994),11310
Clean Slate (1994),18658
Cliffhanger (1993),9350
Coneheads (1993),9612
Color of Night (1994),2124
Cops and Robbersons (1994),26261
"Cowboy Way, The (1994)",19176
Dave (1993),11566
Dazed and Confused (1993),9571
Demolition Man (1993),9739
Even Cowgirls Get the Blues (1993),34444
Fatal Instinct (1993),26141
Farewell My Concubine (Ba wang bie ji) (1993),10997
Fearless (1993),10443
Fear of a Black Hat (1994),20239
With Honors (1994),16297
Flesh and Bone (1993),18551
Widows' Peak (1994),25440
For Love or Money (1993),9024
"Firm, The (1993)",37233
Free Willy (1993),1634
Fresh (1994),13815
"Fugitive, The (1993)",5503
Geronimo: An American Legend (1993),35588
"Getaway, The (1994)",2087
Getting Even with Dad (1994),41579
Go Fish (1994),18620
Hard Target (1993),2019
Hot Shots! Part Deux (1993),9255
Live Nude Girls (1995),26271
"Englishman Who Went Up a Hill But Came Down a Mountain, The (1995)",10612
"House of the Spirits, The (1993)",2259
House Party 3 (1994),16097
"Hudsucker Proxy, The (1994)",11934
I'll Do Anything (1994),106143
In the Army Now (1994),12475
In the Line of Fire (1993),9386
In the Name of the Father (1993),7984
"Inkwell, The (1994)",59930
What's Love Got to Do with It? (1993),15765
Jimmy Hollywood (1994),31643
Judgment Night (1993),6
Jurassic Park (1993),329
Kalifornia (1993),10909
Killing Zoe (1994),507
Lassie (1994),29918
Last Action Hero (1993),9593
Life with Mikey (1993),42580
Lightning Jack (1994),22317
M. Butterfly (1993),1413
Made in America (1993),12121
Malice (1993),2246
"Man Without a Face, The (1993)",10502
Manhattan Murder Mystery (1993),10440
Menace II Society (1993),9516
Executive Decision (1996),2320
In the Realm of the Senses (Ai no corrida) (1976),5879
What Happened Was... (1994),83718
Much Ado About Nothing (1993),11971
Mr. Wonderful (1993),31911
Mrs. Doubtfire (1993),788
Naked (1993),21450
"Next Karate Kid, The (1994)",11231
No Escape (1994),10447
North (1994),31586
Orlando (1992),9300
"Perfect World, A (1993)",9559
Philadelphia (1993),9800
"Piano, The (1993)",713
Poetic Justice (1993),8291
"Program, The (1993)",18133
"Puppet Masters, The (1994)",25557
Radioland Murders (1994),22588
"Ref, The (1994)",10872
"Remains of the Day, The (1993)",1245
Renaissance Man (1994),11858
Rising Sun (1993),7007
"Road to Wellville, The (1994)",10467
RoboCop 3 (1993),5550
Robin Hood: Men in Tights (1993),8005
Romeo Is Bleeding (1993),2088
Romper Stomper (1992),10412
Ruby in Paradise (1993),47889
Rudy (1993),14534
"Savage Nights (Nuits fauves, Les) (1992)",41878
Schindler's List (1993),424
"Scout, The (1994)",35233
Searching for Bobby Fischer (1993),14291
"Secret Garden, The (1993)",11236
Serial Mom (1994),11592
"Shadow, The (1994)",8850
Shadowlands (1993),10445
Short Cuts (1993),695
"Simple Twist of Fate, A (1994)",43535
Sirens (1994),12519
Six Degrees of Separation (1993),23210
Sleepless in Seattle (1993),858
Sliver (1993),867
Blade Runner (1982),78
Son in Law (1993),13203
So I Married an Axe Murderer (1993),10442
Striking Distance (1993),11074
Super Mario Bros. (1993),9607
Surviving the Game (1994),17585
Terminal Velocity (1994),9057
Thirty-Two Short Films About Glenn Gould (1993),20967
Threesome (1994),10635
"Nightmare Before Christmas, The (1993)",9479
"Three Musketeers, The (1993)",10057
Tombstone (1993),11969
True Romance (1993),319
"War Room, The (1993)",26408
"Pagemaster, The (1994)",15139
Welcome to the Dollhouse (1995),11446
Germinal (1993),51980
Chasers (1994),24405
Kika (1993),8223
Bhaji on the Beach (1993),14587
Little Big League (1994),31504
"Ciao, Professore! (Io speriamo che me la cavo) (1992)",23637
Spanking the Monkey (1994),17600
"Little Rascals, The (1994)",10897
Andre (1994),21352
"Escort, The (Scorta, La) (1993)",68806
Princess Caraboo (1994),37345
"Celluloid Closet, The (1995)",32562
Dear Diary (Caro Diario) (1994),25403
"Brady Bunch Movie, The (1995)",9066
Home Alone (1990),771
Ghost (1990),251
Aladdin (1992),812
Terminator 2: Judgment Day (1991),280
Dances with Wolves (1990),581
Batman (1989),268
"Silence of the Lambs, The (1991)",274
Snow White and the Seven Dwarfs (1937),408
Beauty and the Beast (1991),10020
Pinocchio (1940),10895
Pretty Woman (1990),114
"Wild Bunch, The (1969)",576
Love and a .45 (1994),15477
"Great Day in Harlem, A (1994)",124472
One Fine Day (1996),7300
Candyman: Farewell to the Flesh (1995),10824
Fargo (1996),275
Homeward Bound II: Lost in San Francisco (1996),25059
Heavy Metal (1981),11827
Hellraiser: Bloodline (1996),8766
"Pallbearer, The (1996)",23570
Jane Eyre (1996),47333
Bread and Chocolate (Pane e cioccolata) (1973),51242
"Aristocats, The (1970)",10112
"Flower of My Secret, The (La flor de mi secreto) (1995)",4307
Two Much (1995),46029
Ed (1996),32308
"Thin Line Between Love and Hate, A (1996)",28121
"Last Supper, The (1995)",12520
Primal Fear (1996),1592
All Dogs Go to Heaven 2 (1996),19042
Land and Freedom (Tierra y libertad) (1995),38884
Denise Calls Up (1995),47449
Theodore Rex (1995),36259
"Family Thing, A (1996)",41852
Frisk (1995),40926
Sgt. Bilko (1996),9099
Jack and Sarah (1995),2021
Girl 6 (1996),61752
Diabolique (1996),10988
Nelly & Monsieur Arnaud (1995),12652
Courage Under Fire (1996),10684
Mission: Impossible (1996),954
Cold Fever (Á köldum klaka) (1995),68445
Moll Flanders (1996),18989
Dragonheart (1996),8840
Eddie (1996),11107
James and the Giant Peach (1996),10539
Fear (1996),10543
Kids in the Hall: Brain Candy (1996),18414
Underground (1995),11902
Bloodsport 2 (a.k.a. Bloodsport II: The Next Kumite) (1996),25087
Song of the Little Road (Pather Panchali) (1955),5801
"World of Apu, The (Apur Sansar) (1959)",896
Mystery Science Theater 3000: The Movie (1996),3065
Space Jam (1996),2300
Barbarella (1968),8069
Some Folks Call It a Sling Blade (1993),27768
"Run of the Country, The (1995)",221917
"Alphaville (Alphaville, une étrange aventure de Lemmy Caution) (1965)",8072
It's My Party (1996),33245
Operation Dumbo Drop (1995),27281
Mrs. Winterbourne (1996),40001
Solo (1996),29621
"Substitute, The (1996)",20762
True Crime (1996),37144
Feeling Minnesota (1996),12656
Delta of Venus (1995),38867
Angus (1995),25969
Boys (1996),43634
"Quest, The (1996)",9103
Sunset Park (1996),29649
Mulholland Falls (1996),10990
"Truth About Cats & Dogs, The (1996)",8866
Oliver & Company (1988),12233
Celtic Pride (1996),23449
Flipper (1996),36355
Dead Man (1995),922
"Horseman on the Roof, The (Hussard sur le toit, Le) (1995)",11876
"Visitors, The (Visiteurs, Les) (1993)",11687
Multiplicity (1996),9304
Wallace & Gromit: The Best of Aardman Animation (1996),503475
"Haunted World of Edward D. Wood Jr., The (1996)",73183
"Craft, The (1996)",9100
"Great White Hype, The (1996)",20759
Last Dance (1996),46063
Cold Comfort Farm (1995),32513
Heaven's Prisoners (1996),36915
"Rock, The (1996)",9802
Cemetery Man (Dellamorte Dellamore) (1994),21588
Twister (1996),664
Barb Wire (1996),11867
Ghost in the Shell (Kôkaku kidôtai) (1995),9323
Thinner (1996),10280
Spy Hard (1996),10535
Wallace & Gromit: A Close Shave (1995),532
"Stupids, The (1996)",16299
"Arrival, The (1996)",10547
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),935
Ashes of Time (Dung che sai duk) (1994),40751
Maya Lin: A Strong Clear Vision (1994),85778
Stalingrad (1993),11101
"Phantom, The (1996)",9826
Striptease (1996),9879
Heavy (1995),22621
Jack (1996),7095
I Shot Andy Warhol (1996),26890
Touki Bouki (1973),77771
Spirits of the Dead (1968),41225
Trainspotting (1996),627
'Til There Was You (1997),32872
Independence Day (a.k.a. ID4) (1996),602
Stealing Beauty (1996),14553
"Fan, The (1996)",9566
"Hunchback of Notre Dame, The (1996)",10545
"Cable Guy, The (1996)",9894
Kingpin (1996),11543
Eraser (1996),9268
"Nutty Professor, The (1996)",9327
"Unforgettable Summer, An (Un été inoubliable) (1994)",81949
"Last Klezmer: Leopold Kozlowski, His Life and Music, The (1994)",
Somebody to Love (1994),44535
Daylight (1996),11228
"Frighteners, The (1996)",10779
Lone Star (1996),26748
Harriet the Spy (1996),38223
Phenomenon (1996),9294
Walking and Talking (1996),49963
She's the One (1996),11363
"Time to Kill, A (1996)",1645
American Buffalo (1996),31546
Alaska (1996),36344
Fled (1996),18550
Kazaam (1996),11511
Larger Than Life (1996),34170
"Very Brady Sequel, A (1996)",12606
"Collector, The (La collectionneuse) (1967)",4837
Kaspar Hauser (1993),12632
"Adventures of Pinocchio, The (1996)",18975
Joe's Apartment (1996),11962
"First Wives Club, The (1996)",2925
Ransom (1996),3595
High School High (1996),9308
Foxfire (1996),18555
Chain Reaction (1996),12123
Matilda (1996),10830
Emma (1996),12254
"Crow: City of Angels, The (1996)",10546
House Arrest (1996),18862
"Eyes Without a Face (Yeux sans visage, Les) (1959)",31417
Tales from the Crypt Presents: Bordello of Blood (1996),9431
"Spitfire Grill, The (1996)",47907
Escape from L.A. (1996),10061
Basquiat (1996),549
Tin Cup (1996),10478
"Godfather, The (1972)",238
Supercop (Police Story 3: Supercop) (Jing cha gu shi III: Chao ji jing cha) (1992),11134
Bound (1996),9303
Carpool (1996),23945
Kansas City (1996),22479
Gone Fishin' (1997),9054
Nothing to Lose (1994),410921
Supercop 2 (Project S) (Chao ji ji hua) (1993),38955
"Relic, The (1997)",11015
"Island of Dr. Moreau, The (1996)",9306
First Kid (1996),12559
"Trigger Effect, The (1996)",58770
Bogus (1996),3587
Bulletproof (1996),10723
Land Before Time III: The Time of the Great Giving (1995),19004
1-900 (06) (1994),101230
Halloween: The Curse of Michael Myers (Halloween 6: The Curse of Michael Myers) (1995),10987
Twelfth Night (1996),44705
Mother Night (1996),20318
Wild Reeds (Les roseaux sauvages) (1994),26933
For Whom the Bell Tolls (1943),27854
"Philadelphia Story, The (1940)",981
Singin' in the Rain (1952),872
"American in Paris, An (1951)",2769
Funny Face (1957),13320
Breakfast at Tiffany's (1961),164
Vertigo (1958),426
Rear Window (1954),567
It Happened One Night (1934),3078
Gaslight (1944),13528
"Gay Divorcee, The (1934)",28288
North by Northwest (1959),213
"Apartment, The (1960)",284
Some Like It Hot (1959),239
Charade (1963),4808
Casablanca (1942),289
"Maltese Falcon, The (1941)",963
My Fair Lady (1964),11113
Sabrina (1954),6620
Roman Holiday (1953),804
"Little Princess, The (1939)",26531
Meet Me in St. Louis (1944),909
"Wizard of Oz, The (1939)",630
Gone with the Wind (1939),770
My Favorite Year (1982),31044
Sunset Blvd. (a.k.a. Sunset Boulevard) (1950),599
Citizen Kane (1941),15
2001: A Space Odyssey (1968),62
All About Eve (1950),705
"Women, The (1939)",22490
Rebecca (1940),223
Foreign Correspondent (1940),25670
Notorious (1946),303
Spellbound (1945),4174
"Affair to Remember, An (1957)",8356
To Catch a Thief (1955),381
Father of the Bride (1950),20758
"Band Wagon, The (1953)",29376
Ninotchka (1939),1859
Love in the Afternoon (1957),18299
Gigi (1958),17281
"Adventures of Robin Hood, The (1938)",10907
"Mark of Zorro, The (1940)",32093
Laura (1944),1939
"Ghost and Mrs. Muir, The (1947)",22292
Lost Horizon (1937),3598
Top Hat (1935),3080
To Be or Not to Be (1942),198
My Man Godfrey (1936),13562
Giant (1956),1712
East of Eden (1955),220
"Thin Man, The (1934)",3529
His Girl Friday (1940),3085
Around the World in 80 Days (1956),2897
It's a Wonderful Life (1946),1585
Mr. Smith Goes to Washington (1939),3083
Bringing Up Baby (1938),900
Penny Serenade (1941),43795
Of Human Bondage (1934),43905
Little Lord Fauntleroy (1936),23114
"Inspector General, The (1949)",40206
"39 Steps, The (1935)",260
Night of the Living Dead (1968),10331
"African Queen, The (1951)",488
Beat the Devil (1953),22733
Cat on a Hot Tin Roof (1958),261
Meet John Doe (1941),32574
"Farewell to Arms, A (1932)",22649
Nothing Personal (1995),125587
Dangerous Ground (1997),52855
Picnic (1955),39940
"Pompatus of Love, The (1996)",85328
Fly Away Home (1996),11076
Bliss (1997),63945
Grace of My Heart (1996),58985
Maximum Risk (1996),10861
Michael Collins (1996),1770
Infinity (1996),2033
Big Night (1996),18203
Last Man Standing (1996),9333
Set It Off (1996),9400
2 Days in the Valley (1996),9401
Extreme Measures (1996),11306
"Glimmer Man, The (1996)",9625
D3: The Mighty Ducks (1996),10680
"Chamber, The (1996)",6346
"Apple Dumpling Gang, The (1975)",18660
"Davy Crockett, King of the Wild Frontier (1955)",35115
Escape to Witch Mountain (1975),14821
"Love Bug, The (1969)",14136
Herbie Rides Again (1974),10869
Old Yeller (1957),22660
"Parent Trap, The (1961)",19186
Pollyanna (1960),31102
Homeward Bound: The Incredible Journey (1993),6878
"Shaggy Dog, The (1959)",15944
Swiss Family Robinson (1960),18444
That Darn Cat! (1965),20723
"20,000 Leagues Under the Sea (1954)",173
Cool Runnings (1993),864
Angels in the Outfield (1994),24795
Cinderella (1950),11224
Winnie the Pooh and the Blustery Day (1968),81310
"Three Caballeros, The (1945)",15947
"Sword in the Stone, The (1963)",9078
Robin Hood: Prince of Thieves (1991),8367
Mary Poppins (1964),433
Dumbo (1941),11360
Pete's Dragon (1977),11114
Bedknobs and Broomsticks (1971),12335
Alice in Wonderland (1951),12092
"Fox and the Hound, The (1981)",10948
Freeway (1996),11229
"Sound of Music, The (1965)",15121
Die Hard (1988),562
"Lawnmower Man, The (1992)",10163
"Secret Agent, The (1996)",47199
Secrets & Lies (1996),11159
That Thing You Do! (1996),9591
To Gillian on Her 37th Birthday (1996),30500
Beautiful Thing (1996),10938
"Long Kiss Goodnight, The (1996)",11412
"Ghost and the Darkness, The (1996)",10586
Looking for Richard (1996),42314
Trees Lounge (1996),27845
Normal Life (1996),23223
Get on the Bus (1996),49471
Shadow Conspiracy (1997),38153
Jude (1996),25147
Everyone Says I Love You (1996),9716
William Shakespeare's Romeo + Juliet (1996),454
Swingers (1996),10218
Sleepers (1996),819
Aladdin and the King of Thieves (1996),11238
Shall We Dance (1937),31530
Crossfire (1947),28120
Willy Wonka & the Chocolate Factory (1971),252
"Innocents, The (1961)",16372
Sleeper (1973),11561
Bananas (1971),11302
"Fish Called Wanda, A (1988)",623
Monty Python's Life of Brian (1979),583
Victor/Victoria (1982),12614
"Candidate, The (1972)",21711
"Great Race, The (1965)",11575
Bonnie and Clyde (1967),475
"Old Man and the Sea, The (1958)",11331
Dial M for Murder (1954),521
Dirty Dancing (1987),88
Reservoir Dogs (1992),500
Platoon (1986),792
Weekend at Bernie's (1989),8491
Basic Instinct (1992),402
"Doors, The (1991)",10537
"Crying Game, The (1992)",11386
Glengarry Glen Ross (1992),9504
Sophie's Choice (1982),15764
E.T. the Extra-Terrestrial (1982),601
"Christmas Carol, A (1938)",25842
Days of Thunder (1990),2119
Top Gun (1986),744
Rebel Without a Cause (1955),221
"Streetcar Named Desire, A (1951)",702
Children of the Corn IV: The Gathering (1996),25750
Loser (1991),
Microcosmos (Microcosmos: Le peuple de l'herbe) (1996),9305
Palookaville (1996),37616
"Funeral, The (1996)",21612
"Single Girl, A (Fille seule, La) (1995)",102461
"Eighth Day, The (Huitième jour, Le) (1996)",36998
Drunks (1995),116844
"People vs. Larry Flynt, The (1996)",1630
Glory Daze (1995),26626
"Perfect Candidate, A (1996)",124837
On Golden Pond (1981),11816
"Return of the Pink Panther, The (1975)",11843
Drop Dead Fred (1991),10379
"Abyss, The (1989)",2756
"Fog, The (1980)",790
Escape from New York (1981),1103
"Howling, The (1980)",11298
Jean de Florette (1986),4480
Manon of the Spring (Manon des sources) (1986),4481
Private Benjamin (1980),10765
Monty Python and the Holy Grail (1975),762
Hustler White (1996),44497
Entertaining Angels: The Dorothy Day Story (1996),99479
"Line King: The Al Hirschfeld Story, The (1996)",124829
When We Were Kings (1996),10548
Wallace & Gromit: The Wrong Trousers (1993),531
